index,Phylum,Feces,Small intestine
Sg.M.H.1.16S,Proteobacteria,4.705074227,2.515357886
Sg.M.H.1.16S,Firmicutes,5.946762885,6.262414355
Sg.M.H.1.16S,Bacteroidetes,6.230220329,6.349349148
Sg.M.H.1.16S,Actinobacteria,-3.217021005,-3.632445569
Sg.M.H.1.16S,Tenericutes,0.378736498,-3.645064599
Sg.M.H.1.16S,Cyanobacteria,-0.02672861,-4.286628065
Sg.M.H.1.16S,Unclassified,-3.883836266,-0.123699443
Sg.M.H.1.16S,Acidobacteria,-5.930459702,-6.520541137
Sg.M.H.1.16S,Unclassified,-5.593085764,-0.442153174
Sg.M.H.1.16S,Verrucomicrobia,1.39033741,3.523410598
Sg.M.H.10.16S,Proteobacteria,5.861961769,9.301299849
Sg.M.H.10.16S,Firmicutes,6.28869917,4.013798339
Sg.M.H.10.16S,Bacteroidetes,5.94854871,3.174047685
Sg.M.H.10.16S,Actinobacteria,-3.573467929,-3.489531325
Sg.M.H.10.16S,Tenericutes,-3.586086959,1.615903067
Sg.M.H.10.16S,Cyanobacteria,-3.571108334,-3.894771311
Sg.M.H.10.16S,Unclassified,-3.560572227,3.191439427
Sg.M.H.10.16S,Acidobacteria,-3.496005423,-6.128684383
Sg.M.H.10.16S,Unclassified,-3.508833915,-5.791310445
Sg.M.H.10.16S,Verrucomicrobia,3.196865139,-1.992190902
Sg.M.H.2.16S,Proteobacteria,4.89509219,3.378087495
Sg.M.H.2.16S,Firmicutes,6.587317011,6.543350223
Sg.M.H.2.16S,Bacteroidetes,6.084222665,5.78310429
Sg.M.H.2.16S,Actinobacteria,-2.858245464,-1.285351599
Sg.M.H.2.16S,Tenericutes,-2.870864494,0.794089942
Sg.M.H.2.16S,Cyanobacteria,-2.855885869,-3.492455146
Sg.M.H.2.16S,Unclassified,-2.845349762,-1.690816707
Sg.M.H.2.16S,Acidobacteria,-4.140806833,-5.657811529
Sg.M.H.2.16S,Unclassified,-3.803432896,-5.320437591
Sg.M.H.2.16S,Verrucomicrobia,1.807953451,0.948240622
Sg.M.H.3.16S,Proteobacteria,3.295480175,3.84719413
Sg.M.H.3.16S,Firmicutes,7.420331645,7.396657564
Sg.M.H.3.16S,Bacteroidetes,6.145787952,7.416726826
Sg.M.H.3.16S,Actinobacteria,-3.485251601,-3.442735595
Sg.M.H.3.16S,Tenericutes,1.703136696,0.227307547
Sg.M.H.3.16S,Cyanobacteria,-3.482892006,-3.847975581
Sg.M.H.3.16S,Unclassified,-3.472355899,-4.035265217
Sg.M.H.3.16S,Acidobacteria,-5.740418849,-6.081888653
Sg.M.H.3.16S,Unclassified,-5.403044911,-5.744514715
Sg.M.H.3.16S,Verrucomicrobia,3.019226798,4.264493695
Sg.M.H.4.16S,Proteobacteria,6.50838163,3.972637017
Sg.M.H.4.16S,Firmicutes,6.480090224,5.767560045
Sg.M.H.4.16S,Bacteroidetes,4.620876452,5.837689352
Sg.M.H.4.16S,Actinobacteria,0.245119431,-0.861918072
Sg.M.H.4.16S,Tenericutes,-3.517407782,0.502397382
Sg.M.H.4.16S,Cyanobacteria,-3.502429157,-0.500904727
Sg.M.H.4.16S,Unclassified,-3.49189305,-5.095367439
Sg.M.H.4.16S,Acidobacteria,-4.681855615,-5.806798817
Sg.M.H.4.16S,Unclassified,-4.344481678,-5.043629127
Sg.M.H.4.16S,Verrucomicrobia,1.683599545,1.228334386
Sg.M.H.5.16S,Proteobacteria,3.416994759,8.765906329
Sg.M.H.5.16S,Firmicutes,7.169472199,5.0640382
Sg.M.H.5.16S,Bacteroidetes,6.531892238,4.45361186
Sg.M.H.5.16S,Actinobacteria,-3.178653028,-2.347598448
Sg.M.H.5.16S,Tenericutes,0.76541117,1.328201763
Sg.M.H.5.16S,Cyanobacteria,-3.176293433,-2.345238853
Sg.M.H.5.16S,Unclassified,-3.165757325,-2.934371001
Sg.M.H.5.16S,Acidobacteria,-5.618904265,-4.980994437
Sg.M.H.5.16S,Unclassified,-5.281530327,-4.6436205
Sg.M.H.5.16S,Verrucomicrobia,2.537368011,-2.359934913
Sg.M.H.6.16S,Proteobacteria,3.924973025,3.828752353
Sg.M.H.6.16S,Firmicutes,6.902883334,6.023250418
Sg.M.H.6.16S,Bacteroidetes,6.523937777,6.351006542
Sg.M.H.6.16S,Actinobacteria,-3.435853071,-0.886922987
Sg.M.H.6.16S,Tenericutes,-3.4484721,-0.653308136
Sg.M.H.6.16S,Cyanobacteria,-0.022417125,0.193989724
Sg.M.H.6.16S,Unclassified,-3.422957368,-3.138214786
Sg.M.H.6.16S,Acidobacteria,-5.110925999,-6.962504336
Sg.M.H.6.16S,Unclassified,-4.773552061,-6.625130398
Sg.M.H.6.16S,Verrucomicrobia,2.862383588,1.869081607