SampleID,MD_q0,MD_q1,MD_q2
Sg.M.E.1.16S,1515.476921,1190.936184,1009.637197
Sg.M.E.2.16S,446.2042072,435.194353,426.1202144
Sg.M.E.3.16S,2374.508947,1913.08571,1606.334236
Sg.M.H.1.16S,6346.195937,3797.639142,2464.20561
Sg.M.H.2.16S,7803.478133,5018.971634,3525.118643
Sg.M.H.3.16S,7784.121321,3571.34015,2162.464929
Sg.M.HC.1.16S,696.5341648,312.9872288,196.1231178
Sg.M.HC.2.16S,8731.320162,4941.998033,3052.695506
Sg.M.HC.3.16S,1524.977084,482.5047308,381.7765306
Sg.M.I.1.16S,1605.631991,1246.210684,1030.598258
Sg.M.I.2.16S,1885.172801,1463.744966,1205.894982
Sg.M.I.3.16S,2132.160086,1600.988416,1327.769147
Sg.M.R.1.16S,9404.084513,6015.64912,4233.314725
Sg.M.R.2.16S,8238.188353,4506.365727,2919.302027
Sg.M.R.3.16S,7887.065122,4655.899719,2994.517161
Sg.M.HC.10.16S,4799.411247,2276.225275,1417.928912
Sg.M.HC.4.16S,784.063699,356.1082139,283.2476376
Sg.M.HC.5.16S,818.47407,271.1706985,213.6260094
Sg.M.HC.6.16S,8402.716908,2255.658535,1126.854757
Sg.M.HC.7.16S,40.23502386,34.10244657,33.9010731
Sg.M.HC.8.16S,480.9865448,152.375202,136.2611927
Sg.M.HC.9.16S,464.4386541,236.0381332,204.9781001
Sg.M.H.10.16S,12768.85762,5270.795998,3008.130615
Sg.M.H.4.16S,9595.910394,3116.801116,1905.493679
Sg.M.H.5.16S,11233.77764,4635.38431,2160.863222
Sg.M.H.6.16S,11347.73133,4135.69977,2025.858959
Sg.M.H.7.16S,11757.22426,5542.208636,3117.030065
Sg.M.H.8.16S,15522.10288,5037.805105,2091.11973
Sg.M.H.9.16S,9288.280385,4274.97287,2705.482285
Sg.M.E.10.16S,10700.61461,5360.045086,2691.921567
Sg.M.E.4.16S,1408.616164,428.4628218,340.6192035
Sg.M.E.5.16S,4447.794248,1262.161825,812.4993912
Sg.M.E.6.16S,2697.4251,692.1912277,440.4924813
Sg.M.E.7.16S,9208.126578,2663.790133,1641.537348
Sg.M.E.8.16S,1297.319045,475.1955634,417.6952244
Sg.M.E.9.16S,5521.679556,3237.832486,1861.055854
Sg.M.I.10.16S,10101.0899,4906.461334,2521.167406
Sg.M.I.4.16S,503.9270506,183.5518062,161.4952781
Sg.M.I.5.16S,10640.87977,5430.952441,2819.024524
Sg.M.I.6.16S,7664.198193,4170.197394,2310.992428
Sg.M.I.7.16S,19888.73455,8875.793157,4715.748669
Sg.M.I.8.16S,1512.096227,469.6624459,392.2313695
Sg.M.I.9.16S,18989.29822,7087.732292,3830.112927
Sg.M.R.10.16S,16058.38954,6326.100826,2857.027571
Sg.M.R.4.16S,3841.326444,887.8192839,562.9799778
Sg.M.R.5.16S,15151.88251,6713.121209,3353.295342
Sg.M.R.6.16S,19283.90057,5813.680475,2564.244997
Sg.M.R.7.16S,20446.33112,7938.330048,4145.369727
Sg.M.R.8.16S,15935.01694,6528.791887,2979.768615
Sg.M.R.9.16S,16305.16753,6582.161007,3637.536308