index,Phylum,Feces,Rectum
Sg.M.H.1.16S,Proteobacteria,4.705074227,3.254437071
Sg.M.H.1.16S,Firmicutes,5.946762885,6.636156363
Sg.M.H.1.16S,Bacteroidetes,6.230220329,6.862382027
Sg.M.H.1.16S,Actinobacteria,-3.217021005,-0.856436793
Sg.M.H.1.16S,Tenericutes,0.378736498,-0.761126613
Sg.M.H.1.16S,Cyanobacteria,-0.02672861,-0.114499448
Sg.M.H.1.16S,Unclassified,-3.883836266,-5.023699377
Sg.M.H.1.16S,Acidobacteria,-5.930459702,-7.070322813
Sg.M.H.1.16S,Unclassified,-5.593085764,-6.732948876
Sg.M.H.1.16S,Verrucomicrobia,1.39033741,3.80605846
Sg.M.H.10.16S,Proteobacteria,5.861961769,8.572689356
Sg.M.H.10.16S,Firmicutes,6.28869917,5.887871563
Sg.M.H.10.16S,Bacteroidetes,5.94854871,3.880733417
Sg.M.H.10.16S,Actinobacteria,-3.573467929,-3.041896607
Sg.M.H.10.16S,Tenericutes,-3.586086959,0.628146535
Sg.M.H.10.16S,Cyanobacteria,-3.571108334,-3.447136593
Sg.M.H.10.16S,Unclassified,-3.560572227,-3.634426228
Sg.M.H.10.16S,Acidobacteria,-3.496005423,-5.681049665
Sg.M.H.10.16S,Unclassified,-3.508833915,-5.343675727
Sg.M.H.10.16S,Verrucomicrobia,3.196865139,2.178743948
Sg.M.H.2.16S,Proteobacteria,4.89509219,3.268936442
Sg.M.H.2.16S,Firmicutes,6.587317011,6.59260605
Sg.M.H.2.16S,Bacteroidetes,6.084222665,6.102066463
Sg.M.H.2.16S,Actinobacteria,-2.858245464,-4.401529648
Sg.M.H.2.16S,Tenericutes,-2.870864494,0.957816447
Sg.M.H.2.16S,Cyanobacteria,-2.855885869,-1.681240883
Sg.M.H.2.16S,Unclassified,-2.845349762,-1.498919326
Sg.M.H.2.16S,Acidobacteria,-4.140806833,-5.766962582
Sg.M.H.2.16S,Unclassified,-3.803432896,-5.429588644
Sg.M.H.2.16S,Verrucomicrobia,1.807953451,1.856815681
Sg.M.H.3.16S,Proteobacteria,3.295480175,4.12558729
Sg.M.H.3.16S,Firmicutes,7.420331645,6.892565899
Sg.M.H.3.16S,Bacteroidetes,6.145787952,6.4461451
Sg.M.H.3.16S,Actinobacteria,-3.485251601,-0.600868562
Sg.M.H.3.16S,Tenericutes,1.703136696,-0.079571639
Sg.M.H.3.16S,Cyanobacteria,-3.482892006,-1.753548072
Sg.M.H.3.16S,Unclassified,-3.472355899,-4.643262692
Sg.M.H.3.16S,Acidobacteria,-5.740418849,-6.388767839
Sg.M.H.3.16S,Unclassified,-5.403044911,-6.051393901
Sg.M.H.3.16S,Verrucomicrobia,3.019226798,2.053114417
Sg.M.H.4.16S,Proteobacteria,6.50838163,3.449227173
Sg.M.H.4.16S,Firmicutes,6.480090224,5.993021048
Sg.M.H.4.16S,Bacteroidetes,4.620876452,6.033315235
Sg.M.H.4.16S,Actinobacteria,0.245119431,-0.854401905
Sg.M.H.4.16S,Tenericutes,-3.517407782,0.594412813
Sg.M.H.4.16S,Cyanobacteria,-3.502429157,-0.574817043
Sg.M.H.4.16S,Unclassified,-3.49189305,-5.38634426
Sg.M.H.4.16S,Acidobacteria,-4.681855615,-5.321777456
Sg.M.H.4.16S,Unclassified,-4.344481678,-5.334605948
Sg.M.H.4.16S,Verrucomicrobia,1.683599545,1.401970345
Sg.M.H.5.16S,Proteobacteria,3.416994759,3.418153859
Sg.M.H.5.16S,Firmicutes,7.169472199,6.299479393
Sg.M.H.5.16S,Bacteroidetes,6.531892238,5.496402795
Sg.M.H.5.16S,Actinobacteria,-3.178653028,-4.4249077
Sg.M.H.5.16S,Tenericutes,0.76541117,1.10478376
Sg.M.H.5.16S,Cyanobacteria,-3.176293433,-1.234615306
Sg.M.H.5.16S,Unclassified,-3.165757325,-2.215444559
Sg.M.H.5.16S,Acidobacteria,-5.618904265,-5.617745165
Sg.M.H.5.16S,Unclassified,-5.281530327,-5.280371227
Sg.M.H.5.16S,Verrucomicrobia,2.537368011,2.454264148
Sg.M.H.6.16S,Proteobacteria,3.924973025,4.042535538
Sg.M.H.6.16S,Firmicutes,6.902883334,6.235394657
Sg.M.H.6.16S,Bacteroidetes,6.523937777,6.627530585
Sg.M.H.6.16S,Actinobacteria,-3.435853071,-0.631538627
Sg.M.H.6.16S,Tenericutes,-3.4484721,-0.506375484
Sg.M.H.6.16S,Cyanobacteria,-0.022417125,-0.44921707
Sg.M.H.6.16S,Unclassified,-3.422957368,-4.437543979
Sg.M.H.6.16S,Acidobacteria,-5.110925999,-6.815571684
Sg.M.H.6.16S,Unclassified,-4.773552061,-6.478197746
Sg.M.H.6.16S,Verrucomicrobia,2.862383588,2.412983811