index,Phylum,Swab,Rectum,,
Sg.M.HC.1.16S,Proteobacteria,9.805527448,3.254437071,,
Sg.M.HC.1.16S,Firmicutes,3.466050368,6.636156363,,
Sg.M.HC.1.16S,Bacteroidetes,1.648983837,6.862382027,,
Sg.M.HC.1.16S,Actinobacteria,5.768635461,-0.856436793,,
Sg.M.HC.1.16S,Tenericutes,-0.1575613,-0.761126613,,
Sg.M.HC.1.16S,Cyanobacteria,-3.802521726,-0.114499448,,
Sg.M.HC.1.16S,Unclassified,-3.989811361,-5.023699377,,
Sg.M.HC.1.16S,Acidobacteria,-6.036434798,-7.070322813,, 
Sg.M.HC.1.16S,Unclassified,-5.69906086,-6.732948876,,
Sg.M.HC.1.16S,Verrucomicrobia,-1.003807069,3.80605846,,
Sg.M.HC.10.16S,Proteobacteria,5.875638859,8.572689356,,
Sg.M.HC.10.16S,Firmicutes,4.829495198,5.887871563,,
Sg.M.HC.10.16S,Bacteroidetes,5.596518914,3.880733417,,
Sg.M.HC.10.16S,Actinobacteria,-2.419082709,-3.041896607,,
Sg.M.HC.10.16S,Tenericutes,-2.431701739,0.628146535,,
Sg.M.HC.10.16S,Cyanobacteria,-2.416723114,-3.447136593,,
Sg.M.HC.10.16S,Unclassified,-2.406187007,-3.634426228,,
Sg.M.HC.10.16S,Acidobacteria,-4.672989968,-5.681049665,,
Sg.M.HC.10.16S,Unclassified,-4.33561603,-5.343675727,,
Sg.M.HC.10.16S,Verrucomicrobia,2.380647598,2.178743948,,
Sg.M.HC.2.16S,Proteobacteria,7.69205183,3.268936442,,
Sg.M.HC.2.16S,Firmicutes,4.953212092,6.59260605,,
Sg.M.HC.2.16S,Bacteroidetes,-0.898095077,6.102066463,,
Sg.M.HC.2.16S,Actinobacteria,3.627021655,-4.401529648,,
Sg.M.HC.2.16S,Tenericutes,-0.897645609,0.957816447,,
Sg.M.HC.2.16S,Cyanobacteria,-2.315360001,-1.681240883,,
Sg.M.HC.2.16S,Unclassified,-2.502649637,-1.498919326,,
Sg.M.HC.2.16S,Acidobacteria,-4.549273073,-5.766962582,,
Sg.M.HC.2.16S,Unclassified,-4.211899136,-5.429588644,,
Sg.M.HC.2.16S,Verrucomicrobia,-0.897363045,1.856815681,,
Sg.M.HC.3.16S,Proteobacteria,8.465578721,4.12558729,,
Sg.M.HC.3.16S,Firmicutes,-1.267756851,6.892565899,,
Sg.M.HC.3.16S,Bacteroidetes,-1.267748305,6.4461451,,
Sg.M.HC.3.16S,Actinobacteria,1.465608958,-0.600868562,,
Sg.M.HC.3.16S,Tenericutes,-1.267298837,-0.079571639,,
Sg.M.HC.3.16S,Cyanobacteria,-1.252320213,-1.753548072,,
Sg.M.HC.3.16S,Unclassified,-1.241784105,-4.643262692,,
Sg.M.HC.3.16S,Acidobacteria,-1.177217301,-6.388767839,,
Sg.M.HC.3.16S,Unclassified,-1.190045793,-6.051393901,,
Sg.M.HC.3.16S,Verrucomicrobia,-1.267016273,2.053114417,,
Sg.M.HC.4.16S,Proteobacteria,9.982391595,3.449227173,,
Sg.M.HC.4.16S,Firmicutes,4.848906757,5.993021048,,
Sg.M.HC.4.16S,Bacteroidetes,0.392782896,6.033315235,,
Sg.M.HC.4.16S,Actinobacteria,-2.014425351,-0.854401905,,
Sg.M.HC.4.16S,Tenericutes,0.393232364,0.594412813,,
Sg.M.HC.4.16S,Cyanobacteria,-2.419665337,-0.574817043,,
Sg.M.HC.4.16S,Unclassified,-2.606954973,-5.38634426,,
Sg.M.HC.4.16S,Acidobacteria,-4.653578409,-5.321777456,,
Sg.M.HC.4.16S,Unclassified,-4.316204471,-5.334605948,,
Sg.M.HC.4.16S,Verrucomicrobia,0.393514928,1.401970345,,
Sg.M.HC.5.16S,Proteobacteria,9.197052563,3.418153859,,
Sg.M.HC.5.16S,Firmicutes,4.0441464,6.299479393,,
Sg.M.HC.5.16S,Bacteroidetes,0.212176848,5.496402795,,
Sg.M.HC.5.16S,Actinobacteria,3.975153528,-4.4249077,,
Sg.M.HC.5.16S,Tenericutes,0.212626316,1.10478376,,
Sg.M.HC.5.16S,Cyanobacteria,-3.224425694,-1.234615306,,
Sg.M.HC.5.16S,Unclassified,-3.41171533,-2.215444559,,
Sg.M.HC.5.16S,Acidobacteria,-5.458338766,-5.617745165,,
Sg.M.HC.5.16S,Unclassified,-5.120964828,-5.280371227,,
Sg.M.HC.5.16S,Verrucomicrobia,-0.425711038,2.454264148,,
Sg.M.HC.6.16S,Proteobacteria,6.221993411,4.042535538,,
Sg.M.HC.6.16S,Firmicutes,5.601400705,6.235394657,,
Sg.M.HC.6.16S,Bacteroidetes,4.71409751,6.627530585,,
Sg.M.HC.6.16S,Actinobacteria,2.307372158,-0.631538627,,
Sg.M.HC.6.16S,Tenericutes,-3.628282081,-0.506375484,,
Sg.M.HC.6.16S,Cyanobacteria,-3.613303456,-0.44921707,,
Sg.M.HC.6.16S,Unclassified,-3.602767348,-4.437543979,,
Sg.M.HC.6.16S,Acidobacteria,-4.600184234,-6.815571684,,
Sg.M.HC.6.16S,Unclassified,-4.262810296,-6.478197746,,
Sg.M.HC.6.16S,Verrucomicrobia,0.862483632,2.412983811,,