index,Phylum,Swab,Stomach
Sg.M.HC.1.16S,Proteobacteria,9.805527448,2.269327153
Sg.M.HC.1.16S,Firmicutes,3.466050368,5.092061359
Sg.M.HC.1.16S,Bacteroidetes,1.648983837,5.16404949
Sg.M.HC.1.16S,Actinobacteria,5.768635461,-1.63011707
Sg.M.HC.1.16S,Tenericutes,-0.1575613,-4.833028495
Sg.M.HC.1.16S,Cyanobacteria,-3.802521726,-1.224651962
Sg.M.HC.1.16S,Unclassified,-3.989811361,0.567107507
Sg.M.HC.1.16S,Acidobacteria,-6.036434798,-6.766571871
Sg.M.HC.1.16S,Unclassified,-5.69906086,-0.574064396
Sg.M.HC.1.16S,Verrucomicrobia,-1.003807069,1.935888286
Sg.M.HC.10.16S,Proteobacteria,5.875638859,8.898920792
Sg.M.HC.10.16S,Firmicutes,4.829495198,4.77463935
Sg.M.HC.10.16S,Bacteroidetes,5.596518914,4.321877528
Sg.M.HC.10.16S,Actinobacteria,-2.419082709,-2.244294441
Sg.M.HC.10.16S,Tenericutes,-2.431701739,1.810995391
Sg.M.HC.10.16S,Cyanobacteria,-2.416723114,-2.746941468
Sg.M.HC.10.16S,Unclassified,-2.406187007,-2.934231104
Sg.M.HC.10.16S,Acidobacteria,-4.672989968,-4.98085454
Sg.M.HC.10.16S,Unclassified,-4.33561603,-4.643480602
Sg.M.HC.10.16S,Verrucomicrobia,2.380647598,-2.256630906
Sg.M.HC.2.16S,Proteobacteria,7.69205183,3.655665405
Sg.M.HC.2.16S,Firmicutes,4.953212092,3.701788012
Sg.M.HC.2.16S,Bacteroidetes,-0.898095077,2.343479016
Sg.M.HC.2.16S,Actinobacteria,3.627021655,0.014576615
Sg.M.HC.2.16S,Tenericutes,-0.897645609,5.275538195
Sg.M.HC.2.16S,Cyanobacteria,-2.315360001,-4.72533998
Sg.M.HC.2.16S,Unclassified,-2.502649637,0.638730924
Sg.M.HC.2.16S,Acidobacteria,-4.549273073,-6.959253052
Sg.M.HC.2.16S,Unclassified,-4.211899136,-0.128524229
Sg.M.HC.2.16S,Verrucomicrobia,-0.897363045,-3.816660905
Sg.M.HC.3.16S,Proteobacteria,8.465578721,4.296010079
Sg.M.HC.3.16S,Firmicutes,-1.267756851,4.766277944
Sg.M.HC.3.16S,Bacteroidetes,-1.267748305,2.555755298
Sg.M.HC.3.16S,Actinobacteria,1.465608958,2.088158409
Sg.M.HC.3.16S,Tenericutes,-1.267298837,6.615574932
Sg.M.HC.3.16S,Cyanobacteria,-1.252320213,-4.513063698
Sg.M.HC.3.16S,Unclassified,-1.241784105,0.334139267
Sg.M.HC.3.16S,Acidobacteria,-1.177217301,-6.74697677
Sg.M.HC.3.16S,Unclassified,-1.190045793,-6.409602832
Sg.M.HC.3.16S,Verrucomicrobia,-1.267016273,-2.986272629
Sg.M.HC.4.16S,Proteobacteria,9.982391595,3.784338233
Sg.M.HC.4.16S,Firmicutes,4.848906757,4.050734915
Sg.M.HC.4.16S,Bacteroidetes,0.392782896,1.298440012
Sg.M.HC.4.16S,Actinobacteria,-2.014425351,-0.01148137
Sg.M.HC.4.16S,Tenericutes,0.393232364,3.982663627
Sg.M.HC.4.16S,Cyanobacteria,-2.419665337,-0.829791694
Sg.M.HC.4.16S,Unclassified,-2.606954973,-0.087854349
Sg.M.HC.4.16S,Acidobacteria,-4.653578409,-0.797001871
Sg.M.HC.4.16S,Unclassified,-4.316204471,-8.257670716
Sg.M.HC.4.16S,Verrucomicrobia,0.393514928,-3.132376787
Sg.M.HC.5.16S,Proteobacteria,9.197052563,8.443798755
Sg.M.HC.5.16S,Firmicutes,4.0441464,4.553350697
Sg.M.HC.5.16S,Bacteroidetes,0.212176848,4.647582322
Sg.M.HC.5.16S,Actinobacteria,3.975153528,-2.090889645
Sg.M.HC.5.16S,Tenericutes,0.212626316,1.728011409
Sg.M.HC.5.16S,Cyanobacteria,-3.224425694,-2.715221396
Sg.M.HC.5.16S,Unclassified,-3.41171533,-2.902511032
Sg.M.HC.5.16S,Acidobacteria,-5.458338766,-4.949134468
Sg.M.HC.5.16S,Unclassified,-5.120964828,-4.611760531
Sg.M.HC.5.16S,Verrucomicrobia,-0.425711038,-2.10322611
Sg.M.HC.6.16S,Proteobacteria,6.221993411,3.526736798
Sg.M.HC.6.16S,Firmicutes,5.601400705,6.440032196
Sg.M.HC.6.16S,Bacteroidetes,4.71409751,6.525507928
Sg.M.HC.6.16S,Actinobacteria,2.307372158,-2.870009168
Sg.M.HC.6.16S,Tenericutes,-3.628282081,-2.341665213
Sg.M.HC.6.16S,Cyanobacteria,-3.613303456,-3.275249154
Sg.M.HC.6.16S,Unclassified,-3.602767348,-0.52504815
Sg.M.HC.6.16S,Acidobacteria,-4.600184234,-5.509162226
Sg.M.HC.6.16S,Unclassified,-4.262810296,-5.171788288
Sg.M.HC.6.16S,Verrucomicrobia,0.862483632,3.200645277